time,a1,sigma,e,a2,J2,a1rate,e1rate,a2rate
8.010000e+05,4.635672e+00,2.175366e+00,4.126195e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.110000e+05,4.635672e+00,2.143589e+00,4.128777e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.210000e+05,4.635672e+00,2.110829e+00,4.131286e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.310000e+05,4.635672e+00,2.077115e+00,4.133708e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.410000e+05,4.635672e+00,2.042484e+00,4.136030e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.510000e+05,4.635672e+00,2.006977e+00,4.138237e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.610000e+05,4.635672e+00,1.970640e+00,4.140316e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.710000e+05,4.635672e+00,1.933527e+00,4.142253e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.810000e+05,4.635672e+00,1.895694e+00,4.144032e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.910000e+05,4.635672e+00,1.857205e+00,4.145642e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.010000e+05,4.635672e+00,1.818127e+00,4.147070e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.110000e+05,4.635672e+00,1.778535e+00,4.148303e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.210000e+05,4.635672e+00,1.738504e+00,4.149332e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.310000e+05,4.635672e+00,1.698115e+00,4.150149e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.410000e+05,4.635672e+00,1.657453e+00,4.150745e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.510000e+05,4.635672e+00,1.616604e+00,4.151116e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.610000e+05,4.635672e+00,1.575655e+00,4.151258e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.710000e+05,4.635672e+00,1.534696e+00,4.151170e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.810000e+05,4.635672e+00,1.493815e+00,4.150853e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.910000e+05,4.635672e+00,1.453100e+00,4.150310e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.001000e+06,4.635672e+00,1.412639e+00,4.149545e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.011000e+06,4.635672e+00,1.372516e+00,4.148566e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.021000e+06,4.635672e+00,1.332812e+00,4.147380e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.031000e+06,4.635672e+00,1.293606e+00,4.145998e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.041000e+06,4.635672e+00,1.254971e+00,4.144430e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.051000e+06,4.635672e+00,1.216977e+00,4.142689e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.061000e+06,4.635672e+00,1.179687e+00,4.140789e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.071000e+06,4.635672e+00,1.143161e+00,4.138743e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.081000e+06,4.635672e+00,1.107453e+00,4.136564e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.091000e+06,4.635672e+00,1.072610e+00,4.134268e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.101000e+06,4.635672e+00,1.038675e+00,4.131869e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.111000e+06,4.635672e+00,1.005686e+00,4.129379e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.121000e+06,4.635672e+00,9.736735e-01,4.126814e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.131000e+06,4.635672e+00,9.426651e-01,4.124184e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.141000e+06,4.635672e+00,9.126825e-01,4.121503e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.151000e+06,4.635672e+00,8.837433e-01,4.118783e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.161000e+06,4.635672e+00,8.558605e-01,4.116032e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.171000e+06,4.635672e+00,8.290434e-01,4.113262e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.181000e+06,4.635672e+00,8.032980e-01,4.110480e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.191000e+06,4.635672e+00,7.786267e-01,4.107694e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.201000e+06,4.635672e+00,7.550294e-01,4.104912e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.211000e+06,4.635672e+00,7.325034e-01,4.102139e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.221000e+06,4.635672e+00,7.110439e-01,4.099381e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.231000e+06,4.635672e+00,6.906444e-01,4.096641e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.241000e+06,4.635672e+00,6.712967e-01,4.093923e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.251000e+06,4.635672e+00,6.529914e-01,4.091230e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.261000e+06,4.635672e+00,6.357183e-01,4.088564e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.271000e+06,4.635672e+00,6.194665e-01,4.085928e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.281000e+06,4.635672e+00,6.042244e-01,4.083321e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.291000e+06,4.635672e+00,5.899804e-01,4.080744e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.301000e+06,4.635672e+00,5.767225e-01,4.078197e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.311000e+06,4.635672e+00,5.644390e-01,4.075681e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.321000e+06,4.635672e+00,5.531185e-01,4.073193e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.331000e+06,4.635672e+00,5.427498e-01,4.070734e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.341000e+06,4.635672e+00,5.333221e-01,4.068301e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.351000e+06,4.635672e+00,5.248254e-01,4.065893e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.361000e+06,4.635672e+00,5.172503e-01,4.063509e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.371000e+06,4.635672e+00,5.105881e-01,4.061146e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.381000e+06,4.635672e+00,5.048309e-01,4.058801e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.391000e+06,4.635672e+00,4.999719e-01,4.056474e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.401000e+06,4.635672e+00,4.960049e-01,4.054160e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.411000e+06,4.635672e+00,4.929250e-01,4.051858e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.421000e+06,4.635672e+00,4.907279e-01,4.049566e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.431000e+06,4.635672e+00,4.894107e-01,4.047279e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.441000e+06,4.635672e+00,4.889713e-01,4.044997e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.451000e+06,4.635672e+00,4.894086e-01,4.042715e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.461000e+06,4.635672e+00,4.907228e-01,4.040432e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.471000e+06,4.635672e+00,4.929149e-01,4.038145e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.481000e+06,4.635672e+00,4.959869e-01,4.035850e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
