t,a,e,omega,Omega,res,M2
5.156110846644628e+05,4.634960798625777e+00,3.945189731401604e-01,-2.858382469533986e+00,0.000000e+00,1.884559e+00,-9.738237e-01
5.235435628911841e+05,4.634821716990981e+00,3.945069964328962e-01,-2.612274355680424e+00,0.000000e+00,1.889299e+00,-7.229755e-01
5.314760411179053e+05,4.634786279873443e+00,3.945192333442392e-01,-2.366146708599317e+00,0.000000e+00,1.894020e+00,-4.721272e-01
5.394085193446266e+05,4.634782198640860e+00,3.945389559784381e-01,-2.120003645588495e+00,0.000000e+00,1.898725e+00,-2.212789e-01
5.473409975713479e+05,4.634803630215845e+00,3.945647857167873e-01,-1.873853121003089e+00,0.000000e+00,1.903422e+00,2.956935e-02
5.552734757980692e+05,4.634887833784178e+00,3.946053246837445e-01,-1.627702886809062e+00,0.000000e+00,1.908120e+00,2.804176e-01
5.632059540247904e+05,4.635267075376436e+00,3.947141922374441e-01,-1.381492178419635e+00,0.000000e+00,1.912758e+00,5.312658e-01
5.711384322515117e+05,4.635513954535719e+00,3.947927535032851e-01,-1.134589835753659e+00,0.000000e+00,1.916704e+00,7.821140e-01
5.790709104782330e+05,4.634950305472883e+00,3.946845659692078e-01,-8.882256046185306e-01,0.000000e+00,1.921188e+00,1.032962e+00
5.870033887049543e+05,4.634819159746487e+00,3.946764148950018e-01,-6.420357355306590e-01,0.000000e+00,1.925846e+00,1.283810e+00
5.949358669316756e+05,4.634785575513637e+00,3.946910388583197e-01,-3.958249299892879e-01,0.000000e+00,1.930483e+00,1.534658e+00
6.028683451583969e+05,4.634782404825382e+00,3.947129048610332e-01,-1.495981037273721e-01,0.000000e+00,1.935105e+00,1.785507e+00
6.108008233851182e+05,4.634805173604863e+00,3.947409487976297e-01,9.663678861235880e-02,0.000000e+00,1.939718e+00,2.036355e+00
6.187333016118394e+05,4.634894165814408e+00,3.947844637277787e-01,3.428721251417067e-01,0.000000e+00,1.944331e+00,2.287203e+00
6.266657798385607e+05,4.635296735988452e+00,3.949005144845482e-01,5.891797101893953e-01,0.000000e+00,1.948871e+00,2.538051e+00
6.345982580652820e+05,4.635482360801706e+00,3.949667534530605e-01,8.361837965429130e-01,0.000000e+00,1.952716e+00,2.788899e+00
6.425307362920033e+05,4.634940314239278e+00,3.948654383659210e-01,1.082611574082659e+00,0.000000e+00,1.957136e+00,3.039748e+00
6.504632145187246e+05,4.634816678938907e+00,3.948608296325060e-01,1.328890557133154e+00,0.000000e+00,-4.321480e+00,-2.992589e+00
6.583956927454459e+05,4.634784892439784e+00,3.948776441855664e-01,1.575191654649806e+00,0.000000e+00,-4.316933e+00,-2.741741e+00
6.663281709721672e+05,4.634782643716348e+00,3.949014755506621e-01,1.821509276146022e+00,0.000000e+00,-4.312402e+00,-2.490893e+00
6.742606491988885e+05,4.634806818989013e+00,3.949315766664091e-01,2.067835470339419e+00,0.000000e+00,-4.307880e+00,-2.240045e+00
6.821931274256097e+05,4.634900986639792e+00,3.949779888105094e-01,2.314162795385568e+00,0.000000e+00,-4.303359e+00,-1.989196e+00
6.901256056523310e+05,4.635328051927398e+00,3.951013220842908e-01,2.560575827339146e+00,0.000000e+00,-4.298924e+00,-1.738348e+00
6.980580838790523e+05,4.635449499942221e+00,3.951544344707566e-01,2.807684415495435e+00,0.000000e+00,-4.295184e+00,-1.487500e+00
7.059905621057736e+05,4.634930797586279e+00,3.950602519139731e-01,3.054184515823278e+00,0.000000e+00,-4.290836e+00,-1.236651e+00
7.139230403324949e+05,4.634814292621900e+00,3.950589631280775e-01,-2.982625968127264e+00,0.000000e+00,1.996823e+00,-9.858030e-01
