t,a,e,omega,Omega,res,M2
1.523035819385645e+06,4.635986837093186e+00,3.983265027071077e-01,-2.914400843711886e+00,0.000000e+00,2.382377e+00,-5.320237e-01
1.538900775839088e+06,4.636050681427324e+00,3.984069277005159e-01,-2.418578432311141e+00,0.000000e+00,2.388251e+00,-3.032724e-02
1.554765732292530e+06,4.636157335905310e+00,3.984970519314704e-01,-1.922694354752826e+00,0.000000e+00,2.394064e+00,4.713692e-01
1.570630688745973e+06,4.636350942091874e+00,3.986068932568944e-01,-1.426769625930510e+00,0.000000e+00,2.399835e+00,9.730657e-01
1.586495645199416e+06,4.636671734933532e+00,3.987455631267847e-01,-9.308882114393197e-01,0.000000e+00,2.405650e+00,1.474762e+00
1.602360601652858e+06,4.636872039976956e+00,3.988567045901791e-01,-4.351748268991390e-01,0.000000e+00,2.411633e+00,1.976458e+00
1.618225558106301e+06,4.636595354247516e+00,3.988593152626121e-01,6.063850790569909e-02,0.000000e+00,2.417516e+00,2.478155e+00
1.634090514559743e+06,4.636290794200499e+00,3.988555198161857e-01,5.567550810661790e-01,0.000000e+00,2.423096e+00,2.979851e+00
1.649955471013186e+06,4.636139454731474e+00,3.988864863715113e-01,1.053020838594731e+00,0.000000e+00,-3.854658e+00,-2.801637e+00
1.665820427466628e+06,4.636073595780020e+00,3.989367997985830e-01,1.549362180807838e+00,0.000000e+00,-3.849303e+00,-2.299941e+00
1.681685383920071e+06,4.636046542390869e+00,3.989958338802991e-01,2.045765090719461e+00,0.000000e+00,-3.844010e+00,-1.798244e+00
1.697550340373514e+06,4.636038492757756e+00,3.990590774746231e-01,2.542228472332857e+00,0.000000e+00,-3.838776e+00,-1.296548e+00
1.713415296826956e+06,4.636041427851129e+00,3.991246995363099e-01,3.038753382459241e+00,0.000000e+00,-3.833605e+00,-7.948513e-01
1.729280253280399e+06,4.636052608906161e+00,3.991920746833618e-01,-2.747844117371035e+00,0.000000e+00,2.454689e+00,-2.931548e-01
1.745145209733841e+06,4.636072872309930e+00,3.992613886927663e-01,-2.251191805366805e+00,0.000000e+00,2.459734e+00,2.085417e-01
1.761010166187284e+06,4.636108264842311e+00,3.993340125471862e-01,-1.754472807098488e+00,0.000000e+00,2.464711e+00,7.102381e-01
1.776875122640726e+06,4.636179700172773e+00,3.994146828576888e-01,-1.257684545668051e+00,0.000000e+00,2.469619e+00,1.211935e+00
1.792740079094169e+06,4.636367038167025e+00,3.995214935768518e-01,-7.608361445394112e-01,0.000000e+00,2.474467e+00,1.713631e+00
1.808605035547612e+06,4.636885619697283e+00,3.997032088999259e-01,-2.641162204604834e-01,0.000000e+00,2.479444e+00,2.215327e+00
1.824469992001054e+06,4.636788260618875e+00,3.997450840569240e-01,2.322195004504074e-01,0.000000e+00,2.484804e+00,2.717024e+00
1.840334948454497e+06,4.636337497188497e+00,3.997067217488240e-01,7.291385074345629e-01,0.000000e+00,-3.793604e+00,-3.064465e+00
1.856199904907939e+06,4.636207012498869e+00,3.997408101217200e-01,1.226244486621472e+00,0.000000e+00,-3.789013e+00,-2.562769e+00
1.872064861361382e+06,4.636172400448681e+00,3.997964550010044e-01,1.723408111678533e+00,0.000000e+00,-3.784480e+00,-2.061072e+00
1.887929817814824e+06,4.636169389228094e+00,3.998590860710947e-01,2.220627662439838e+00,0.000000e+00,-3.780003e+00,-1.559375e+00
1.903794774268267e+06,4.636184083461719e+00,3.999255663137131e-01,2.717907826353158e+00,0.000000e+00,-3.775587e+00,-1.057679e+00
1.919659730721710e+06,4.636221462183244e+00,3.999970388271887e-01,-3.067931512926094e+00,0.000000e+00,2.511949e+00,-5.559823e-01
